indicator_id,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ADMI.ENDOFLOWERSEC.MAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ADMI.ENDOFLOWERSEC.READ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADMI.ENDOFPRIM.MAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADMI.ENDOFPRIM.READ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ADMI.GRADE2OR3PRIM.MAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADMI.GRADE2OR3PRIM.READ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
AIR.1.GLAST,56.34806823730469,53.15687942504883,56.60366821289063,58.62631988525391,61.35330963134766,62.42065048217773,62.57600021362305,54.6614990234375,36.42525100708008,46.74697113037109,55.67279815673828,,,,,74.1944808959961,74.82959747314453,,,,,,,,,,88.92304992675781,,93.04898071289064,91.26548004150392,89.39920806884766,88.2380599975586,88.66969299316406,90.18923950195312,91.97186279296876,87.35761260986328,90.92532348632812,,93.51345825195312,96.02799224853516,,,100.530143737793,,,96.9064483642578,97.18955230712892,100.6852111816406,104.6092987060547,,,
AIR.1.GLAST.F,41.73461151123047,39.54058837890625,42.22534942626953,44.56649017333984,46.27101135253906,47.57162857055664,47.54169082641602,37.24914169311523,23.89060020446777,36.99266052246094,44.34077835083008,,,,,62.83475112915039,,,,,,,,,,,83.48016357421875,,89.53053283691406,88.18682098388672,86.8669662475586,87.81993865966797,87.01358795166016,88.81865692138672,88.33763122558594,86.10125732421875,89.04962921142578,,92.3037567138672,95.04537963867188,,,100.9830322265625,,,97.67212677001952,97.62610626220705,101.6332397460938,105.4345779418945,,,
AIR.1.GLAST.GPIA,0.5979099869728088,0.6018099784851074,0.6042799949645996,0.6220899820327759,0.6140900254249573,0.6241000294685364,0.6206499934196472,0.5251799821853638,0.4964300096035004,0.6624799966812134,0.6693599820137024,,,,,0.7402700185775757,,,,,,,,,,,0.8872500061988831,,0.928849995136261,0.9362900257110596,0.94624000787735,0.9908000230789183,0.9642199873924256,0.9707900285720824,0.9257500171661376,0.9723399877548218,0.9605600237846376,,0.9750900268554688,0.9802500009536744,,,1.00872004032135,,,1.015220046043396,1.008689999580383,1.018120050430298,1.015200018882751,,,
AIR.1.GLAST.M,69.80084991455078,65.70332336425781,69.87709045410156,71.63984680175781,75.34927368164062,76.22406768798828,76.60009765625,70.9267578125,48.12437057495117,55.83953094482422,66.24382781982422,,,,,84.88091278076172,,,,,,,,,,,94.08847045898438,,96.38818359375,94.18768310546876,91.80258941650392,88.63509368896484,90.24239349365234,91.49066162109376,95.42288970947266,88.55050659179688,92.70626831054688,,94.66161346435548,96.96021270751952,,,100.1025466918945,,,96.18514251708984,96.77821350097656,99.7918701171875,103.8314590454102,,,
AIR.2.GPV.GLAST,,,,,34.85084915161133,37.05984115600586,41.55580902099609,48.44171142578125,46.55720901489258,47.50679016113281,,,48.00759124755859,,,,,,,,,,,69.19650268554688,,,,,,,,84.45278930664062,80.32718658447266,78.19512176513672,,,,,71.62684631347656,,,,77.67755889892578,77.20571899414062,,83.54232025146484,82.39573669433594,84.57682800292969,88.41783142089844,,,
AIR.2.GPV.GLAST.F,,,,,,,30.44079971313477,35.40911865234375,34.11526870727539,34.12004852294922,,,,,,,,,,,,,,63.79713821411133,,,,,,,,,79.29898834228516,77.93702697753906,,,,,75.99452209472656,,,,78.79374694824219,79.33361053466797,,86.19193267822266,85.73011016845703,87.58245086669922,91.20259857177734,,,
AIR.2.GPV.GLAST.GPIA,,,,,,,0.5863500237464905,0.5836399793624878,0.5854700207710266,0.5676000118255615,,,,,,,,,,,,,,0.8586300015449524,,,,,,,,,0.9753400087356568,0.9935799837112428,,,,,1.112100005149841,,,,1.027609944343567,1.052230000495911,,1.05978000164032,1.075600028038025,1.066689968109131,1.059319972991943,,,
AIR.2.GPV.GLAST.M,,,,,,,51.91537094116211,60.66899871826172,58.27006149291992,60.11304092407227,,,,,,,,,,,,,,74.30120849609375,,,,,,,,,81.30413055419922,78.4403305053711,,,,,67.47532653808594,,,,76.61844635009766,75.19019317626953,,81.03948211669922,79.24883270263672,81.74198150634766,85.7922592163086,,,
